ticker,base,quote,exchange,price,ask,bid,spread,volume
wings-eth,wings,eth,binance,0.0,0.0,0.0,0.0,0.0
nav-btc,nav,btc,binance,2.59e-05,2.59e-05,2.58e-05,9.999999999999904e-08,673569.83
nav-eth,nav,eth,binance,0.000974,0.000965,0.00095,1.500000000000004e-05,94285.85
nav-bnb,nav,bnb,binance,0.00881,0.00902,0.00879,0.00023000000000000104,115742.2
lun-btc,lun,btc,binance,0.0003275,0.0003272,0.0003255,1.6999999999999871e-06,99051.85
lun-eth,lun,eth,binance,0.012023,0.012248,0.011954,0.00029400000000000086,10410.64
trig-btc,trig,btc,binance,0.0,0.0,0.0,0.0,0.0
trig-eth,trig,eth,binance,0.0,0.0,0.0,0.0,0.0
trig-bnb,trig,bnb,binance,0.0,0.0,0.0,0.0,0.0
appc-btc,appc,btc,binance,9.41e-06,9.41e-06,9.4e-06,9.999999999999904e-09,5655130.0
appc-eth,appc,eth,binance,0.0003466,0.000347,0.0003453,1.6999999999999871e-06,367565.0
appc-bnb,appc,bnb,binance,0.00329,0.00327,0.0032,6.999999999999975e-05,354726.3
vibe-btc,vibe,btc,binance,5.15e-06,5.2e-06,5.16e-06,4.0000000000000464e-08,13658625.0
vibe-eth,vibe,eth,binance,0.0001919,0.000192,0.0001902,1.8000000000000166e-06,1469426.0
rlc-btc,rlc,btc,binance,8.74e-05,8.75e-05,8.74e-05,1.0000000000000243e-07,1718125.83
rlc-eth,rlc,eth,binance,0.003214,0.003228,0.003202,2.599999999999998e-05,153459.83
rlc-bnb,rlc,bnb,binance,0.02971,0.03017,0.02971,0.0004599999999999986,128821.0
ins-btc,ins,btc,binance,4.35e-05,4.36e-05,4.35e-05,1.0000000000000243e-07,2316287.73
ins-eth,ins,eth,binance,0.001602,0.001611,0.001599,1.2000000000000075e-05,369575.58
pivx-btc,pivx,btc,binance,8.6e-05,8.63e-05,8.6e-05,2.9999999999999374e-07,406229.6
pivx-eth,pivx,eth,binance,0.003128,0.003219,0.003133,8.600000000000014e-05,33138.09
pivx-bnb,pivx,bnb,binance,0.02973,0.02973,0.02861,0.0011199999999999995,23002.4
iost-btc,iost,btc,binance,1.85e-06,1.86e-06,1.85e-06,9.999999999999904e-09,512570061.0
iost-eth,iost,eth,binance,6.835e-05,6.862e-05,6.823e-05,3.9000000000000135e-07,22643221.0
chat-btc,chat,btc,binance,0.0,0.0,0.0,0.0,0.0
chat-eth,chat,eth,binance,0.0,0.0,0.0,0.0,0.0
steem-btc,steem,btc,binance,4.58e-05,4.6e-05,4.58e-05,1.9999999999999809e-07,910724.03
steem-eth,steem,eth,binance,0.001664,0.001699,0.001679,2.0000000000000052e-05,132658.0
steem-bnb,steem,bnb,binance,0.01559,0.01574,0.01559,0.00015000000000000083,104461.7
nano-btc,nano,btc,binance,0.0002253,0.0002254,0.0002253,1.0000000000000243e-07,2806375.13
nano-eth,nano,eth,binance,0.008272,0.00832,0.008283,3.699999999999884e-05,194820.41
nano-bnb,nano,bnb,binance,0.0764,0.0771,0.0768,0.0003000000000000086,171869.95
via-btc,via,btc,binance,9.28e-05,9.31e-05,9.28e-05,2.9999999999999374e-07,1185452.44
via-eth,via,eth,binance,0.003418,0.003438,0.003418,2.0000000000000052e-05,81234.73
via-bnb,via,bnb,binance,0.03079,0.0321,0.03135,0.0007499999999999937,82622.5
blz-btc,blz,btc,binance,7.04e-06,7.04e-06,7.01e-06,3.000000000000056e-08,5024911.0
blz-eth,blz,eth,binance,0.0002612,0.00026268,0.00025784,4.8399999999999875e-06,790915.0
